NAME,MSTAR
,mearth
Kepler-107 d,
WASP-14 b,436122.8616383783
Kepler-50 b,409489.4044390881
NN Ser d,
Kepler-20 b,303621.4120719092
HAT-P-27 b,306284.75779183826
Kepler-181 b,
HD 116029 b,442781.2259382009
Kepler-207 b,
HD 219828 b,412818.5865889994
Kepler-11 c,319934.40460647445
HD 1237 b,299626.39349201566
WASP-21 b,336247.3971410398
Kepler-284 c,
Kepler-186 c,159134.9067657594
HD 4308 b,310612.6945867229
Kepler-239 b,
Kepler-174 b,
Kepler-224 d,
Kepler-389 c,
Kepler-254 c,
Kepler-236 c,
WASP-25 b,332918.2149911285
Kepler-186 d,159134.9067657594
HD 24040 b,392843.4936895316
Kepler-359 c,
Kepler-211 c,
Kepler-294 c,
Kepler-263 c,
Kepler-349 b,
HD 200964 b,522681.5975360717
HD 147018 b,308615.1852967761
HD 218566 b,282980.4827424592
HD 45364 b,272992.9362927253
Kepler-361 b,
Kepler-318 c,
Kepler-372 b,
Kepler-197 e,
HD 141937 b,348898.28931070265
Kepler-405 c,
Kepler-104 d,
Kepler-26 d,
Kepler-159 b,
HD 156668 b,257012.8619731512
MOA-2009-BLG-387L b,63254.46084831441
Kepler-32 f,179775.8360952094
WASP-103 b,406160.2222891768
Kepler-221 e,
Kepler-256 c,
GJ 649 b,179775.8360952094
Kepler-276 b,
Kepler-264 c,
HD 132406 b,362880.8543403301
Kepler-143 b,
Kepler-189 c,
HD 38529 c,446110.4080881122
Kepler-62 b,229713.56834387864
Kepler-281 b,
Kepler-196 c,
Kepler-238 c,
Kepler-49 c,183105.01824512068
Kepler-55 c,206409.2932944997
WASP-19 b,309613.93994174956
Kepler-310 d,
Kepler-204 c,
Kepler-26 b,216396.83974423353
Kepler-374 c,
Kepler-395 b,
HD 126614 A b,381191.35616484215
Kepler-80 e,
Kepler-83 d,
Kepler-167 b,
Kepler-295 d,
Kepler-337 b,
HD 177830 b,389514.3115396203
Kepler-226 d,
HD 38283 b,361216.2632653744
Kepler-386 b,
HD 217786 b,339576.5792909511
Kepler-363 c,
Kepler-24 d,
