# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
11 Com b,19.4,1.5,1.5,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,0.011664,,,,,,,,,,,,,,,,,,,,1,2008,2011-12-23,94.8,1.5,1.5,2452899.6,1.6,1.6,detected by radial velocity,,,11 Com,185.1791667,17.7927778,4.74,,,,,110.6,-0.35,2.7,19.0,G8 III,,4742.0
11 UMi b,10.5,2.47,2.47,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,0.012887,,,,,,,,,,,,,,,,,,,,1,2009,2009-08-13,117.63,21.06,21.06,2452861.05,2.06,2.06,detected by radial velocity,,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,0.04,1.8,24.08,K4III,1.56,4340.0
14 And b,5.33,0.57,0.57,,,,185.84,0.23,0.23,0.83,,,0.0,,,0.010864,,,,,,,,,,,,,,,,,,,,1,2008,2012-08-21,,,,2861.4,1.5,1.5,detected by radial velocity,,,14 And,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.4,-0.24,2.2,11.0,K0III,,4813.0
14 Her b,4.64,0.19,0.19,,,,1773.4,2.5,2.5,2.77,0.05,0.05,0.369,0.005,0.005,0.153039,,,,,,,,,,,,,,,,,,,,1,2002,2009-10-07,22.6,0.9,0.9,51372.7,3.6,3.6,detected by radial velocity,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311.0
16 Cyg B b,1.68,0.07,0.07,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,0.078468,,,,,,,,,,,,,,,,,,,,1,1996,2012-12-18,83.4,2.1,2.1,50539.3,1.6,1.6,detected by radial velocity,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.08,1.01,0.98,G2.5 V,8.0,5766.0
18 Del b,10.3,,,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,0.035568,,,,,,,,,,,,,,,,,,,,1,2008,2008-02-20,166.1,6.5,6.5,1672.0,18.0,18.0,detected by radial velocity,,,18 Del,314.6083333,10.8391667,5.52,,4.03,3.44,3.67,73.1,-0.052,2.3,8.5,G6III,,4979.0
1RXS1609 b,14.0,3.0,2.0,1.7,,,,,,330.0,0.0,0.0,,,,2.275862,,,,,,,,,,,,,,,,,,,,1,2008,2011-12-14,,,,,,,detected by imaging,,"H2O, CO, H2",1RXS1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.0,,0.73,1.35,K7V,0.011,4060.0
24 Sex b,1.99,0.38,0.26,,,,452.8,4.5,4.5,1.333,0.009,0.009,0.09,0.06,0.06,0.017821,,,,,,,,,,,,,,,,,,,,1,2010,2010-07-28,9.2,165.4,165.4,2454762.0,172.3,172.3,detected by radial velocity,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098.0
24 Sex c,0.86,0.22,0.35,,,,883.0,14.0,14.0,2.08,0.02,0.02,0.29,0.09,0.09,0.027807,,,,,,,,,,,,,,,,,,,,1,2010,2010-07-28,220.5,320.9,320.9,2454930.0,96.5,96.5,detected by radial velocity,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098.0
2M 0103(AB) b,13.0,1.0,1.0,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-07-22,,,,,,,detected by imaging,,,2M 0103(AB),15.9,-55.2656,,,7.5,,,47.2,,0.4,,M,0.03,
